cvss,exposure,asset_criticality,service_type_encoded,exploitability,attack_path_position,historical_incidents,confidence,priority_class,scenario
8.77,1.48,3.48,2.0,7.1,0.0,2,75.0,2,A
7.66,10.6,1.24,2.0,8.77,0.0,13,66.7,2,A
7.31,4.03,4.8,2.0,8.14,6.0,10,25.5,2,A
7.24,12.47,8.26,4.0,7.88,10.0,12,55.9,3,A
9.32,17.37,6.2,1.0,9.96,0.0,7,9.4,3,A
7.63,8.22,5.08,5.0,7.8,10.0,11,20.5,2,A
7.81,12.57,2.54,4.0,9.78,10.0,12,20.5,3,A
9.42,14.01,8.59,2.0,8.2,0.0,1,26.8,3,A
9.65,18.92,8.89,0.0,8.93,0.0,12,67.3,3,A
8.09,5.69,6.05,0.0,9.99,0.0,12,60.5,2,A
8.79,2.73,1.42,4.0,8.15,10.0,13,64.6,2,A
9.05,11.05,9.74,1.0,8.61,6.0,3,6.1,3,A
9.92,7.46,3.64,3.0,9.29,10.0,8,5.3,3,A
8.12,17.54,3.69,1.0,7.48,10.0,4,62.9,3,A
7.72,12.38,5.4,2.0,7.72,10.0,9,39.5,3,A
7.39,2.63,5.37,5.0,8.43,10.0,4,77.3,2,A
9.14,11.03,6.46,4.0,8.2,10.0,6,93.2,3,A
7.06,9.32,5.66,1.0,8.66,10.0,10,26.3,2,A
7.21,2.35,6.68,5.0,7.71,10.0,10,91.0,2,A
9.35,11.25,7.51,3.0,9.42,0.0,7,59.7,3,A
9.02,13.52,4.19,1.0,9.95,0.0,1,87.1,3,A
7.42,14.84,8.21,0.0,7.55,6.0,14,23.2,3,A
8.96,18.54,4.99,3.0,8.62,0.0,1,57.3,3,A
9.59,18.6,8.64,3.0,9.71,0.0,6,51.1,3,A
9.09,19.72,3.39,4.0,9.19,10.0,13,48.2,3,A
9.24,10.25,2.71,0.0,7.17,10.0,1,10.6,3,A
7.21,18.47,5.78,0.0,7.2,0.0,5,53.2,3,A
8.26,18.89,6.13,4.0,8.75,10.0,2,8.8,3,A
9.02,5.95,7.03,4.0,7.9,6.0,4,30.2,3,A
7.22,18.78,1.08,2.0,7.64,6.0,3,58.5,2,A
9.5,7.63,1.62,2.0,9.11,10.0,14,32.1,3,A
9.82,16.33,5.76,3.0,7.4,0.0,3,57.7,3,A
7.61,15.11,2.4,0.0,8.9,6.0,10,25.0,2,A
7.13,5.77,9.17,0.0,8.0,0.0,8,65.3,2,A
7.34,5.98,7.67,5.0,9.84,10.0,0,45.6,2,A
7.13,11.37,8.51,4.0,8.09,0.0,4,19.1,2,A
9.92,4.99,3.25,3.0,9.25,0.0,13,79.1,3,A
9.35,19.55,8.3,1.0,8.24,10.0,10,7.4,3,A
9.58,16.4,3.4,4.0,7.67,6.0,1,15.3,3,A
7.98,16.59,8.84,2.0,9.59,6.0,12,67.7,3,A
7.35,10.68,7.12,2.0,9.91,0.0,0,36.5,2,A
8.31,19.69,1.34,3.0,9.95,0.0,10,37.8,3,A
8.09,11.96,3.29,3.0,7.21,10.0,6,5.2,2,A
9.0,12.84,6.97,2.0,7.98,10.0,9,90.5,3,A
8.85,3.42,4.78,3.0,7.9,10.0,5,69.3,3,A
8.39,6.77,2.89,3.0,8.33,0.0,10,62.6,2,A
8.55,16.08,9.64,1.0,8.9,6.0,9,67.6,3,A
7.07,19.09,3.11,2.0,7.73,6.0,4,81.6,3,A
8.48,15.6,5.1,4.0,7.73,10.0,12,59.7,3,A
7.53,17.96,8.74,3.0,9.87,10.0,7,78.9,3,A
9.0,11.59,9.26,5.0,9.96,10.0,14,17.7,3,A
9.49,15.35,4.98,3.0,8.64,0.0,13,89.7,3,A
8.88,10.02,3.33,5.0,7.82,0.0,15,65.6,2,A
7.69,5.46,4.02,2.0,9.08,10.0,4,12.7,2,A
8.17,8.88,3.98,2.0,9.31,10.0,13,10.9,0,A
9.26,17.73,6.18,5.0,9.56,6.0,9,94.6,3,A
8.31,14.96,8.2,1.0,7.09,6.0,8,51.4,3,A
9.72,16.16,7.52,5.0,8.78,10.0,0,92.4,3,A
7.98,13.21,2.22,4.0,8.36,6.0,12,9.8,2,A
8.41,8.2,7.77,2.0,9.25,0.0,2,29.0,2,A
9.85,7.65,6.85,3.0,7.6,0.0,0,66.9,3,A
9.1,5.53,5.26,1.0,9.3,0.0,14,95.0,3,A
7.32,19.31,7.47,2.0,7.08,6.0,9,20.6,3,A
7.31,18.25,4.38,0.0,9.32,10.0,7,23.8,3,A
8.98,3.3,9.85,5.0,7.21,10.0,13,38.0,3,A
9.12,17.14,8.4,1.0,8.31,10.0,14,96.3,3,A
8.31,13.36,6.54,1.0,9.19,6.0,14,78.6,3,A
8.71,5.66,9.41,1.0,9.0,6.0,14,47.8,3,A
7.84,17.17,2.64,5.0,8.79,6.0,10,80.8,3,A
9.07,10.82,2.72,0.0,8.94,6.0,7,43.6,3,A
8.42,1.33,3.65,2.0,8.59,6.0,11,28.1,2,A
7.36,11.46,4.17,5.0,7.58,0.0,7,34.1,2,A
9.17,19.07,7.21,5.0,9.93,10.0,8,75.2,3,A
7.04,19.63,8.49,1.0,8.6,6.0,9,39.3,3,A
7.31,2.04,3.63,2.0,7.04,6.0,15,65.6,2,A
7.34,9.37,2.66,4.0,7.2,6.0,15,94.4,2,A
7.26,12.96,1.48,1.0,7.74,10.0,9,58.5,2,A
9.73,12.52,8.12,4.0,7.89,10.0,14,54.6,3,A
8.88,6.8,6.59,5.0,7.79,0.0,6,75.3,3,A
7.87,4.3,1.68,5.0,7.69,10.0,15,47.8,2,A
8.28,17.33,1.64,4.0,8.63,10.0,6,30.1,3,A
8.32,6.05,2.28,3.0,8.41,6.0,9,80.3,2,A
9.67,18.91,5.5,3.0,9.2,10.0,1,12.6,3,A
10.0,2.74,9.66,2.0,9.02,6.0,0,59.6,3,A
